Device: cuda
Configuration: {'dataset': 'cifar10', 'resnet_model': 'resnet18', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 1, 'backbone_tag': 'resnet18', 'run_name': 'resnet18_2000C_5pct_seed1', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['cifar10', 'cifar100', 'tiny', 'whoi_plankton', 'eurosat', 'bone_marrow', 'wikiart_style'], 'tiny_root': '/home/daniela/mine/fedDINO/data/tiny_in_view', 'celeba_root': './celeba', 'device': device(type='cuda')}
Files already downloaded and verified
Files already downloaded and verified
Loading ResNet backbone (resnet18, weights=IMAGENET1K_V1)...
ResNet image feature dim: 512
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 275: 3.4654
Client 1165: 3.8301
Client 1735: 3.9833
Client 1643: 3.5186
Client 1564: 4.4587
Client 129: 2.7593
Client 522: 4.2116
Client 241: 3.3524
Client 1014: 3.9201
Client 1558: 2.6447
Client 920: 3.4487
Client 967: 2.3997
Client 1334: 3.1286
Client 777: 3.4163
Client 1615: 4.0089
Client 429: 4.5765
Client 192: 4.4405
Client 999: 3.5063
Client 58: 4.0374
Client 1829: 3.7243
Client 1711: 4.5008
Client 798: 2.6149
Client 886: 3.7361
Client 1244: 3.8258
Client 1561: 3.3594
Client 1571: 4.0644
Client 4: 3.8359
Client 1425: 3.9868
Client 912: 3.0050
Client 545: 3.2858
Client 1477: 3.5254
Client 1642: 4.0705
Client 468: 3.7182
Client 1210: 3.9407
Client 1935: 3.9535
Client 209: 3.6998
Client 1846: 2.5267
Client 650: 3.6268
Client 62: 2.9312
Client 45: 3.8232
Client 52: 3.9914
Client 1330: 3.4407
Client 1108: 1.6564
Client 18: 3.7510
Client 1923: 4.1725
Client 1804: 2.6670
Client 780: 3.0081
Client 1405: 2.8622
Client 443: 3.3312
Client 1984: 3.9173
Client 864: 3.8110
Client 1486: 3.7210
Client 59: 3.2165
Client 1080: 3.7943
Client 454: 3.0951
Client 896: 2.1150
Client 1015: 4.4056
Client 1132: 4.2036
Client 477: 3.8098
Client 707: 3.7111
Client 472: 3.6955
Client 1386: 3.5729
Client 448: 3.6322
Client 941: 3.8977
Client 1950: 4.0313
Client 593: 3.8928
Client 1897: 2.8496
Client 44: 3.7672
Client 852: 4.1424
Client 1715: 3.6172
Client 1876: 4.1097
Client 1139: 3.4844
Client 1888: 2.7797
Client 1315: 3.1809
Client 204: 4.2466
Client 380: 2.9407
Client 1288: 3.4526
Client 1482: 3.8369
Client 1761: 4.0572
Client 607: 4.0331
Client 247: 3.2097
Client 1521: 3.8464
Client 681: 4.3575
Client 1834: 3.0564
Client 1993: 4.0322
Client 1456: 3.8931
Client 1025: 4.1630
Client 1917: 3.3284
Client 1980: 4.4807
Client 1039: 3.8072
Client 1699: 2.8540
Client 1864: 3.8518
Client 1372: 3.4575
Client 388: 4.0355
Client 621: 2.9161
Client 581: 4.0167
Client 1203: 4.2965
Client 1807: 2.6512
Client 1022: 2.6460
Client 1733: 3.3816
Round avg loss: 3.5905 (Best: 3.5905)

--- Round 2/20 ---
Client 1926: 4.5665
Client 1034: 2.1874
Client 805: 2.9279
Client 1206: 2.9979
Client 1747: 4.6804
Client 70: 2.4808
Client 983: 2.7460
Client 497: 3.6060
Client 1523: 3.9099
Client 1633: 1.3165
Client 827: 3.9327
Client 848: 3.9706
Client 1361: 4.3708
Client 354: 3.3570
Client 751: 2.9758
Client 1123: 3.3680
Client 1807: 2.6137
Client 1439: 4.4147
Client 1588: 3.5076
Client 1381: 3.9236
Client 1511: 3.3859
Client 767: 3.8675
Client 177: 3.3462
Client 898: 3.6079
Client 1359: 4.0878
Client 1041: 4.0759
Client 221: 4.4938
Client 1594: 3.7082
Client 335: 3.6255
Client 1066: 3.7318
Client 1720: 4.2997
Client 758: 3.3551
Client 1002: 4.0572
Client 1500: 2.2469
Client 60: 3.1678
Client 961: 4.3506
Client 89: 4.1090
Client 631: 4.3522
Client 1440: 3.6232
Client 1737: 4.0519
Client 1259: 4.6573
Client 1214: 3.5099
Client 1184: 4.0670
Client 806: 2.4661
Client 1325: 3.6890
Client 348: 4.0741
Client 345: 3.0353
Client 1028: 2.9393
Client 464: 2.6338
Client 25: 3.4772
Client 1578: 4.8761
Client 408: 3.5630
Client 1105: 3.8159
Client 1884: 3.0630
Client 1761: 3.9303
Client 1122: 3.0260
Client 475: 3.3806
Client 828: 2.7631
Client 1052: 3.3911
Client 704: 3.5351
Client 1950: 3.8992
Client 1735: 3.8556
Client 1183: 3.8285
Client 723: 3.5524
Client 940: 2.4394
Client 1863: 2.4710
Client 551: 3.4265
Client 1350: 3.3583
Client 1247: 3.6374
Client 1960: 2.1237
Client 1493: 3.6554
Client 11: 3.0381
Client 785: 1.9115
Client 1604: 4.4994
Client 1755: 3.3129
Client 1680: 3.5165
Client 1955: 3.7254
Client 1814: 3.1871
Client 1921: 3.8766
Client 1516: 3.6077
Client 1049: 3.5230
Client 1657: 3.3914
Client 264: 3.2887
Client 1062: 3.8388
Client 1592: 3.6741
Client 1149: 3.9471
Client 420: 3.8061
Client 872: 3.4376
Client 1945: 3.5999
Client 114: 4.4299
Client 985: 3.4443
Client 1781: 2.1031
Client 746: 3.9441
Client 1167: 4.2229
Client 1135: 3.9753
Client 409: 4.0600
Client 1927: 3.5871
Client 1033: 3.4885
Client 846: 4.0889
Client 993: 3.7161
Round avg loss: 3.5378 (Best: 3.5378)

--- Round 3/20 ---
Client 1665: 4.2540
Client 730: 3.0792
Client 848: 3.8550
Client 708: 3.4731
Client 3: 3.9212
Client 1102: 3.6479
Client 1106: 4.4289
Client 1276: 3.8250
Client 1610: 3.0275
Client 1254: 4.4533
Client 678: 4.2837
Client 938: 3.6196
Client 1228: 2.9027
Client 57: 3.6864
Client 1647: 3.2108
Client 470: 1.6984
Client 1301: 3.2651
Client 362: 4.1564
Client 1127: 3.5071
Client 1196: 3.7651
Client 370: 3.4139
Client 1763: 2.7640
Client 187: 3.8652
Client 1635: 3.9650
Client 1128: 3.8648
Client 1632: 3.8690
Client 1743: 4.2116
Client 1672: 3.9246
Client 1906: 3.4883
Client 522: 4.0985
Client 66: 3.3665
Client 1723: 3.5041
Client 1932: 3.2392
Client 1378: 4.1179
Client 144: 3.5420
Client 170: 2.9066
Client 1777: 2.8833
Client 34: 3.8582
Client 927: 3.8987
Client 29: 4.3275
Client 1544: 3.5543
Client 1547: 3.5299
Client 575: 3.8248
Client 511: 4.0225
Client 550: 3.1818
Client 224: 3.2057
Client 1279: 3.0476
Client 378: 4.3493
Client 705: 2.8720
Client 594: 1.2932
Client 142: 3.3855
Client 342: 3.0891
Client 326: 3.4918
Client 1080: 3.7157
Client 1949: 3.5329
Client 344: 4.0276
Client 1344: 3.1487
Client 558: 2.7464
Client 1327: 3.5281
Client 1457: 3.4963
Client 603: 3.9292
Client 931: 4.2618
Client 1438: 3.8271
Client 659: 4.3643
Client 1016: 3.7338
Client 970: 3.4185
Client 233: 3.5953
Client 48: 4.4002
Client 638: 3.6922
Client 791: 3.1195
Client 703: 3.7512
Client 862: 3.9166
Client 1630: 3.3677
Client 385: 3.6389
Client 529: 4.1006
Client 222: 3.1277
Client 519: 3.8696
Client 1842: 4.8466
Client 1495: 3.0668
Client 1044: 3.1400
Client 428: 3.4779
Client 1977: 3.2631
Client 1240: 3.8035
Client 884: 3.2070
Client 1673: 3.3709
Client 1997: 3.0978
Client 42: 4.1773
Client 461: 1.2219
Client 36: 3.5994
Client 813: 4.5609
Client 299: 3.8123
Client 72: 2.5275
Client 1472: 4.1996
Client 1965: 3.6193
Client 328: 3.9351
Client 912: 2.8847
Client 1443: 3.9288
Client 1036: 3.6655
Client 1388: 3.5550
Client 873: 3.2356
Round avg loss: 3.5652 (Best: 3.5378)

--- Round 4/20 ---
Client 1115: 3.7439
Client 1704: 3.6544
Client 451: 2.5056
Client 1998: 4.3031
Client 1291: 4.0492
Client 1633: 1.2742
Client 1423: 1.9296
Client 1057: 4.0133
Client 923: 3.2311
Client 457: 4.0794
Client 1072: 3.6572
Client 1328: 3.7652
Client 62: 2.8014
Client 808: 3.6424
Client 1382: 4.2779
Client 1179: 3.1592
Client 1645: 3.4929
Client 657: 3.9177
Client 1351: 4.1396
Client 1292: 3.9071
Client 873: 3.0821
Client 120: 4.4647
Client 1510: 4.0167
Client 611: 3.8727
Client 257: 4.2063
Client 1982: 3.2197
Client 434: 3.6657
Client 1793: 3.9805
Client 97: 3.7911
Client 627: 2.9443
Client 144: 3.4090
Client 1758: 4.0902
Client 156: 4.1195
Client 635: 3.8625
Client 1878: 2.7350
Client 1923: 4.0545
Client 610: 4.5642
Client 1523: 3.7935
Client 324: 4.3973
Client 852: 4.0328
Client 1156: 3.1242
Client 516: 4.1670
Client 267: 4.3985
Client 17: 4.0050
Client 1148: 3.5509
Client 1799: 2.3186
Client 1741: 3.3620
Client 77: 4.0517
Client 1209: 3.7550
Client 1678: 3.8123
Client 445: 2.7851
Client 1970: 3.5531
Client 1844: 3.5002
Client 1167: 4.1136
Client 943: 3.9096
Client 351: 2.8008
Client 1695: 4.0311
Client 1777: 2.7608
Client 1781: 1.9747
Client 1994: 2.3315
Client 1597: 3.7598
Client 1441: 3.6716
Client 1275: 3.3494
Client 1042: 3.6711
Client 76: 2.1574
Client 774: 3.0368
Client 410: 3.3554
Client 710: 3.6698
Client 202: 3.5234
Client 421: 3.7291
Client 1174: 3.3234
Client 1380: 3.7597
Client 1836: 3.2856
Client 886: 3.6513
Client 1211: 3.6900
Client 397: 3.4484
Client 1008: 4.7406
Client 213: 3.1742
Client 1920: 2.9239
Client 1363: 3.3280
Client 798: 2.5141
Client 606: 3.5058
Client 1032: 3.6671
Client 1023: 3.5441
Client 35: 4.0077
Client 666: 2.5964
Client 1253: 3.3098
Client 1785: 2.8989
Client 823: 2.9135
Client 1842: 4.7279
Client 576: 3.9959
Client 37: 4.4716
Client 321: 2.3593
Client 411: 3.8066
Client 1756: 3.0125
Client 671: 3.2550
Client 1661: 3.2701
Client 1153: 3.6648
Client 1602: 3.5181
Client 276: 3.9900
Round avg loss: 3.5243 (Best: 3.5243)

--- Round 5/20 ---
Client 694: 3.6467
Client 879: 2.6556
Client 436: 2.8364
Client 545: 3.1561
Client 1381: 3.8480
Client 197: 4.5390
Client 1715: 3.5041
Client 776: 2.8852
Client 1909: 2.3377
Client 1121: 3.7677
Client 704: 3.4315
Client 1872: 4.1193
Client 1807: 2.5367
Client 1407: 4.0160
Client 1094: 3.7126
Client 992: 4.1111
Client 1572: 4.0658
Client 1090: 3.8518
Client 480: 3.9300
Client 133: 3.3355
Client 1485: 4.6115
Client 82: 3.5412
Client 173: 2.5575
Client 272: 3.8284
Client 347: 4.4681
Client 341: 3.5585
Client 1865: 2.3349
Client 1102: 3.5653
Client 548: 3.5529
Client 1554: 3.6120
Client 680: 4.1886
Client 1229: 2.8481
Client 1036: 3.5352
Client 1722: 3.4416
Client 522: 3.9671
Client 753: 3.4230
Client 693: 3.8758
Client 696: 3.2449
Client 233: 3.5392
Client 596: 2.4408
Client 481: 4.0152
Client 1776: 1.7094
Client 1933: 4.2832
Client 1236: 3.3850
Client 1596: 4.4019
Client 1954: 3.9409
Client 1464: 3.5391
Client 1817: 4.2900
Client 1001: 3.4293
Client 277: 3.3113
Client 1187: 3.2534
Client 1128: 3.8022
Client 1577: 2.8865
Client 213: 3.0466
Client 656: 4.3198
Client 80: 3.5613
Client 832: 4.4608
Client 149: 3.5855
Client 778: 3.9267
Client 1773: 3.1977
Client 1614: 4.4351
Client 301: 3.7128
Client 1696: 4.3438
Client 256: 2.6360
Client 698: 2.4981
Client 234: 4.1802
Client 1259: 4.5104
Client 1203: 4.2103
Client 1601: 2.7043
Client 1896: 3.7886
Client 774: 2.8951
Client 156: 4.0303
Client 1168: 3.4983
Client 1126: 3.2634
Client 458: 3.1953
Client 1159: 4.3118
Client 167: 4.4523
Client 1950: 3.7882
Client 546: 3.1186
Client 747: 3.2362
Client 1824: 3.7448
Client 605: 4.0625
Client 1155: 4.6791
Client 1894: 3.3609
Client 937: 3.8458
Client 1836: 3.1966
Client 567: 4.0044
Client 220: 3.6498
Client 1611: 4.0229
Client 93: 4.5489
Client 1695: 3.9454
Client 25: 3.3454
Client 1256: 3.6640
Client 1373: 3.9940
Client 29: 4.1732
Client 187: 3.7913
Client 846: 3.9972
Client 235: 2.8585
Client 1691: 3.5434
Client 1812: 3.5732
Round avg loss: 3.6158 (Best: 3.5243)

--- Round 6/20 ---
Client 1617: 4.0452
Client 81: 4.4258
Client 384: 3.8884
Client 490: 2.9321
Client 1608: 3.4883
Client 1201: 3.9104
Client 862: 3.8411
Client 331: 4.4377
Client 236: 3.9785
Client 923: 3.0979
Client 342: 2.9298
Client 1394: 4.2988
Client 494: 2.0420
Client 325: 4.3857
Client 1523: 3.7097
Client 1730: 4.0126
Client 210: 2.8232
Client 891: 3.4150
Client 1865: 2.2524
Client 1975: 3.7053
Client 774: 2.7773
Client 1651: 4.2517
Client 1987: 3.5930
Client 1111: 3.8195
Client 1862: 4.3531
Client 1675: 3.4104
Client 602: 3.3293
Client 1126: 3.1795
Client 518: 4.5114
Client 1457: 3.3867
Client 976: 4.5408
Client 644: 4.1856
Client 205: 3.0132
Client 425: 4.3121
Client 1335: 4.5137
Client 650: 3.5829
Client 55: 4.4335
Client 21: 3.4111
Client 1611: 3.9019
Client 1895: 2.5081
Client 605: 3.9706
Client 1487: 3.0790
Client 1221: 2.9459
Client 655: 3.4141
Client 921: 2.1362
Client 801: 3.1271
Client 641: 4.7418
Client 816: 3.1452
Client 128: 3.1949
Client 131: 3.3661
Client 1870: 4.3031
Client 649: 3.1596
Client 1986: 3.5081
Client 1231: 4.3397
Client 933: 2.1499
Client 228: 3.5475
Client 512: 3.2110
Client 440: 3.5436
Client 1607: 4.5831
Client 1265: 3.6164
Client 1593: 4.0304
Client 1825: 3.8380
Client 1776: 1.6216
Client 1409: 3.2966
Client 960: 3.9931
Client 1355: 4.0863
Client 728: 4.5154
Client 530: 3.8732
Client 375: 4.0769
Client 1109: 3.0450
Client 629: 3.9950
Client 407: 4.4497
Client 504: 2.7350
Client 738: 3.9295
Client 166: 4.2230
Client 1679: 4.5641
Client 575: 3.7844
Client 183: 1.6368
Client 1542: 3.5562
Client 917: 3.1923
Client 185: 3.9148
Client 1176: 4.1824
Client 1317: 3.5395
Client 694: 3.5124
Client 1926: 4.4154
Client 465: 4.3382
Client 799: 4.3236
Client 1979: 3.1145
Client 628: 2.7748
Client 84: 3.3453
Client 670: 3.0329
Client 382: 4.2410
Client 648: 4.0802
Client 1623: 3.7769
Client 1734: 3.7594
Client 1185: 4.4654
Client 1829: 3.6255
Client 1886: 2.8162
Client 620: 3.3377
Client 503: 3.2429
Round avg loss: 3.6200 (Best: 3.5243)

--- Round 7/20 ---
Client 684: 4.8378
Client 206: 4.3505
Client 1114: 3.3956
Client 1252: 4.1935
Client 1185: 4.3257
Client 1653: 3.5101
Client 1220: 3.3588
Client 188: 4.2267
Client 501: 3.0002
Client 450: 3.6855
Client 41: 4.1395
Client 1655: 2.5382
Client 499: 3.1183
Client 822: 3.1806
Client 148: 3.6276
Client 548: 3.4449
Client 1128: 3.6872
Client 1776: 1.6013
Client 145: 2.5056
Client 1493: 3.5261
Client 153: 4.1402
Client 44: 3.6473
Client 1301: 3.1918
Client 20: 3.9973
Client 595: 4.0224
Client 1537: 4.3577
Client 1622: 3.2909
Client 735: 1.3324
Client 1010: 4.4419
Client 960: 3.8567
Client 1766: 3.4765
Client 1759: 2.6683
Client 315: 3.7892
Client 1026: 3.4345
Client 1592: 3.5694
Client 1628: 3.3403
Client 671: 3.1149
Client 157: 3.1780
Client 1042: 3.5592
Client 1944: 4.8727
Client 1362: 1.6817
Client 354: 3.2211
Client 367: 3.9072
Client 1589: 3.1814
Client 306: 3.4899
Client 289: 3.5565
Client 1682: 4.0224
Client 1772: 3.9538
Client 654: 3.8512
Client 625: 2.3798
Client 218: 3.2405
Client 1452: 3.6989
Client 1053: 4.1724
