Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'clip_model': 'ViT-B-16-quickgelu', 'clip_pretrained': 'openai', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.01, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 27, 'backbone_tag': 'clip_b16', 'run_name': 'clip_b16_2000C_1pct_seed27', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading CLIP backbone (ViT-B-16-quickgelu, pretrained=openai)...
CLIP feature dim (mean-pool all 197 tokens, pre-proj): 768
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1328: 3.6617
Client 982: 3.8296
Client 1436: 3.8053
Client 567: 4.1198
Client 1960: 4.1369
Client 585: 3.6563
Client 402: 3.5450
Client 151: 3.5873
Client 133: 4.3051
Client 521: 3.8870
Client 1688: 3.4020
Client 1105: 3.7787
Client 682: 3.2720
Client 517: 3.7921
Client 762: 3.9907
Client 1708: 3.7299
Client 1668: 4.2827
Client 825: 3.6923
Client 375: 4.0681
Client 507: 4.1548
Round avg loss: 3.8349 (Best: 3.8349)

--- Round 2/20 ---
Client 1863: 3.4413
Client 491: 3.6450
Client 1005: 3.7646
Client 1682: 3.7267
Client 146: 4.0774
Client 1494: 3.3197
Client 1879: 3.5724
Client 1305: 3.4158
Client 1173: 4.3939
Client 1339: 3.7959
Client 161: 3.6993
Client 1250: 3.8270
Client 1717: 3.7311
Client 870: 3.6019
Client 1586: 3.9399
Client 855: 3.8610
Client 1515: 4.1081
Client 107: 3.7157
Client 1346: 4.0327
Client 900: 3.8238
Round avg loss: 3.7747 (Best: 3.7747)

--- Round 3/20 ---
Client 716: 4.2622
Client 24: 3.3641
Client 1730: 4.1292
Client 1995: 3.4667
Client 1671: 3.7488
Client 1316: 4.2164
Client 979: 4.2154
Client 518: 3.8226
Client 281: 3.5954
Client 1254: 3.8516
Client 1925: 4.1093
Client 691: 3.9867
Client 1249: 4.0697
Client 1331: 3.7298
Client 465: 3.4923
Client 1442: 3.1341
Client 1668: 4.1511
Client 1073: 4.3340
Client 288: 3.5796
Client 202: 4.0897
Round avg loss: 3.8674 (Best: 3.7747)

--- Round 4/20 ---
Client 1998: 3.1247
Client 802: 3.6190
Client 1539: 4.1008
Client 618: 3.7861
Client 1866: 3.7310
Client 1534: 4.1720
Client 1629: 3.2359
Client 1907: 3.9227
Client 76: 3.5010
Client 1588: 3.8055
Client 1392: 4.0228
Client 1086: 3.5813
Client 173: 3.8735
Client 348: 4.5190
Client 941: 3.8200
Client 1449: 4.1961
Client 310: 3.3263
Client 542: 4.2263
Client 1106: 3.7132
Client 104: 3.9864
Round avg loss: 3.8132 (Best: 3.7747)

--- Round 5/20 ---
Client 354: 4.2544
Client 1997: 3.4792
Client 1982: 3.5046
Client 1331: 3.5361
Client 30: 3.7567
Client 925: 3.9666
Client 1596: 4.2113
Client 309: 4.1141
Client 709: 4.1584
Client 1822: 3.7423
Client 1175: 4.2244
Client 1176: 3.5631
Client 851: 3.8301
Client 133: 4.1900
Client 630: 3.6520
Client 896: 3.8123
Client 1786: 4.1394
Client 1670: 3.4256
Client 957: 3.7916
Client 722: 4.0694
Round avg loss: 3.8711 (Best: 3.7747)

--- Round 6/20 ---
Client 25: 3.2980
Client 739: 4.2718
Client 321: 3.6703
Client 1600: 4.0022
Client 543: 3.1608
Client 363: 3.5701
Client 989: 3.6006
Client 731: 4.0018
Client 1799: 3.7623
Client 1057: 4.3692
Client 125: 3.8625
Client 1059: 3.7792
Client 510: 3.7638
Client 348: 4.3875
Client 425: 3.4773
Client 1565: 3.7297
Client 1505: 3.7598
Client 1001: 4.0308
Client 1138: 4.0850
Client 187: 3.9047
Round avg loss: 3.8244 (Best: 3.7747)

--- Round 7/20 ---
Client 685: 3.8478
Client 692: 3.5974
Client 1564: 3.8422
Client 117: 3.8732
Client 805: 4.3320
Client 703: 3.6192
Client 1302: 4.1665
Client 234: 4.0278
Client 618: 3.6402
Client 520: 4.0588
Client 1630: 3.8562
Client 1138: 3.9224
Client 1424: 4.2806
Client 1412: 4.2129
Client 168: 4.1381
Client 614: 3.3125
Client 935: 3.7684
Client 949: 4.0471
Client 583: 3.6446
Client 1051: 4.2407
Round avg loss: 3.9214 (Best: 3.7747)

--- Round 8/20 ---
Client 240: 3.7431
Client 1199: 3.8504
Client 46: 4.0114
Client 1857: 3.6485
Client 583: 3.5055
Client 443: 3.8039
Client 1811: 4.0540
Client 1583: 3.8358
Client 978: 3.9648
Client 1135: 3.6558
Client 1111: 3.3298
Client 1832: 3.5575
Client 1983: 3.8169
Client 1403: 3.7537
Client 247: 3.4773
Client 7: 3.3634
Client 1213: 3.8885
Client 117: 3.7002
Client 763: 3.6507
Client 1632: 4.0561
Round avg loss: 3.7334 (Best: 3.7334)

--- Round 9/20 ---
