Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'dino_model': 'vit_small_patch16_dinov3', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 17, 'backbone_tag': 'dino_s16', 'run_name': 'dino_s16_2000C_5pct_seed17', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading DINOv3 backbone (vit_small_patch16_dinov3)...
DINOv3 image feature dim: 384
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1069: 3.2466
Client 848: 3.4594
Client 1652: 3.1519
Client 621: 4.2383
Client 1967: 3.2926
Client 748: 4.1897
Client 593: 3.4818
Client 357: 3.5346
Client 1568: 3.0044
Client 1444: 3.8570
Client 1442: 3.3238
Client 1106: 3.6247
Client 1354: 3.8349
Client 569: 3.9485
Client 225: 3.2193
Client 1879: 3.6985
Client 55: 3.7059
Client 509: 4.0777
Client 786: 3.2327
Client 1669: 3.3671
Client 1528: 3.5641
Client 859: 3.8381
Client 516: 3.5004
Client 1760: 3.9143
Client 1027: 3.8040
Client 1643: 3.7180
Client 650: 3.9778
Client 1311: 3.1684
Client 1733: 3.5891
Client 1401: 3.8133
Client 1935: 3.9658
Client 1483: 3.9396
Client 822: 3.8595
Client 281: 3.4783
Client 1128: 3.8768
Client 127: 3.6987
Client 286: 3.6501
Client 1664: 3.5457
Client 1621: 3.5785
Client 1792: 2.9125
Client 402: 4.0115
Client 309: 3.8264
Client 1807: 3.6818
Client 1445: 4.0317
Client 1091: 3.8326
Client 1144: 3.7456
Client 1642: 3.5436
Client 1956: 4.2384
Client 1404: 3.8719
Client 430: 3.5221
Client 677: 4.1468
Client 1105: 3.6646
Client 252: 3.5137
Client 1465: 3.3377
Client 1308: 3.9784
Client 141: 3.4354
Client 633: 3.6582
Client 839: 3.1340
Client 167: 4.1080
Client 1038: 3.5249
Client 1924: 3.7922
Client 1758: 3.5272
Client 970: 3.6796
Client 1228: 3.5337
Client 290: 3.1733
Client 1397: 3.3707
Client 1663: 3.6471
Client 836: 3.6610
Client 1665: 3.9795
Client 1036: 3.6369
Client 1884: 3.7385
Client 688: 3.4083
Client 36: 3.4240
Client 886: 4.0896
Client 762: 3.9555
Client 1170: 3.9893
Client 105: 3.5418
Client 1836: 3.3489
Client 1540: 3.8773
Client 1513: 4.1279
Client 726: 3.6901
Client 103: 3.4982
Client 1965: 3.8901
Client 977: 3.2067
Client 767: 3.6215
Client 1187: 3.4268
Client 1585: 3.8816
Client 10: 4.2871
Client 1777: 3.5406
Client 830: 3.5254
Client 489: 3.5155
Client 239: 3.7373
Client 1140: 3.9229
Client 437: 3.6043
Client 1960: 3.5029
Client 1079: 3.7993
Client 736: 3.3610
Client 119: 4.1723
Client 547: 3.7350
Client 131: 3.6674
Round avg loss: 3.6678 (Best: 3.6678)

--- Round 2/20 ---
Client 1610: 4.1578
Client 564: 3.1501
Client 394: 3.9009
Client 1530: 3.5218
Client 1236: 3.8038
Client 1697: 3.6489
Client 1137: 3.8056
Client 1091: 3.5907
Client 1133: 3.9822
Client 1846: 3.0321
Client 265: 2.8863
Client 512: 3.4735
Client 1348: 3.5353
Client 629: 3.8368
Client 1877: 3.6110
Client 712: 3.3724
Client 653: 3.8642
Client 349: 4.0602
Client 680: 4.0283
Client 192: 3.3520
Client 1861: 3.4667
Client 1177: 3.6679
Client 1184: 3.8358
Client 1602: 3.9838
Client 558: 3.6101
Client 686: 3.9620
Client 19: 3.5070
Client 103: 3.2540
Client 1542: 3.8397
Client 39: 4.1094
Client 956: 3.5552
Client 1525: 3.7378
Client 970: 3.4484
Client 1296: 3.6108
Client 110: 3.6750
Client 1492: 3.4922
Client 406: 4.1540
Client 634: 3.7895
Client 528: 3.8984
Client 153: 3.4577
Client 1532: 3.1427
Client 1464: 3.7481
Client 1863: 3.9460
Client 993: 3.6149
Client 42: 3.7953
Client 1271: 3.0612
Client 1155: 3.5451
Client 1075: 3.7942
Client 1404: 3.6699
Client 283: 3.6594
Client 825: 3.9679
Client 1498: 3.5076
Client 1948: 4.0140
Client 1965: 3.6549
Client 1208: 3.9478
Client 1672: 4.1879
Client 801: 3.8991
Client 375: 3.8693
Client 400: 4.0960
Client 514: 3.6896
Client 1967: 3.0565
Client 308: 3.8109
Client 1385: 4.4211
Client 226: 3.8331
Client 1858: 3.6584
Client 434: 3.9256
Client 102: 3.5174
Client 1724: 3.7145
Client 1993: 3.5530
Client 1099: 3.9232
Client 624: 3.9688
Client 1648: 4.0186
Client 1822: 3.5946
Client 1884: 3.5487
Client 646: 3.5227
Client 1660: 3.9942
Client 647: 3.7431
Client 101: 3.8464
Client 330: 3.9875
Client 1896: 3.4828
Client 858: 3.9199
Client 190: 3.4121
Client 1415: 3.6227
