Device: cuda
Configuration: {'dataset': 'wco_l4_ifcb_pml', 'resnet_model': 'resnet18', 'projection_dim': 128, 'image_size': 224, 'num_clients': 2000, 'client_frac': 0.05, 'rounds': 20, 'local_epochs': 5, 'batch_size': 128, 'lr': 0.0001, 'wd': 0.0001, 'grad_clip': 1.0, 'linear_lr': 0.001, 'linear_wd': 0.0001, 'linear_bs': 256, 'linear_epochs': 50, 'linear_patience': 10, 'dirichlet_alpha': 0.3, 'balanced_partition': False, 'normalization': 'imagenet', 'seed': 27, 'backbone_tag': 'resnet18', 'run_name': 'resnet18_2000C_5pct_seed27', 'verbose': False, 'progress_every': 20, 'eval_every': 0, 'save_test_embeddings': False, 'cpu': False, 'eval_datasets': ['wco_l4_ifcb_pml', 'syke_ifcb', 'syke_zooscan', 'plankto_share', 'daplankton_lab_ifcb', 'daplankton_lab_cs', 'daplankton_lab_fc'], 'tiny_root': './tiny', 'celeba_root': './celeba', 'device': device(type='cuda')}
Loading ResNet backbone (resnet18, weights=IMAGENET1K_V1)...
ResNet image feature dim: 512
Using Dirichlet alpha=0.3 for non-IID partition...
Using imbalanced Dirichlet partition
Starting federated unsupervised SimCLR (CLIP backbone)...

--- Round 1/20 ---
Client 1328: 3.4400
Client 982: 3.6304
Client 1436: 3.5752
Client 567: 3.9207
Client 1960: 3.9709
Client 585: 3.4053
Client 402: 3.3123
Client 151: 3.3801
Client 133: 4.1529
Client 521: 3.6843
Client 1688: 3.1686
Client 1105: 3.5450
Client 682: 2.9993
Client 517: 3.5934
Client 762: 3.8027
Client 1708: 3.5267
Client 1668: 4.0567
Client 825: 3.4489
Client 375: 3.7892
Client 507: 3.9006
Client 1863: 3.2571
Client 491: 3.4213
Client 1005: 3.4879
Client 1682: 3.5236
Client 146: 3.8818
Client 1494: 3.1088
Client 1879: 3.3830
Client 1305: 3.2669
Client 1173: 4.1460
Client 1339: 3.6297
Client 161: 3.4826
Client 1250: 3.6292
Client 1717: 3.5365
Client 870: 3.3830
Client 1586: 3.7427
Client 855: 3.6684
Client 1515: 3.9368
Client 107: 3.5537
Client 1346: 3.8372
Client 900: 3.6163
Client 716: 4.0245
Client 24: 3.1990
Client 1730: 3.8802
Client 1995: 3.2708
Client 1671: 3.4840
Client 1316: 3.9839
Client 979: 4.0412
Client 518: 3.6647
Client 281: 3.4157
Client 1254: 3.5932
Client 1925: 3.9157
Client 691: 3.8078
Client 1249: 3.8346
Client 1331: 3.5237
Client 465: 3.3011
Client 1442: 2.8825
Client 1073: 4.1535
Client 288: 3.3548
Client 202: 3.9339
Client 1998: 2.9185
Client 802: 3.4461
Client 1539: 3.9065
Client 618: 3.6078
Client 1866: 3.5416
Client 1534: 4.0347
Client 1629: 3.0404
Client 1907: 3.7294
Client 76: 3.2861
Client 1588: 3.6009
Client 1392: 3.7820
Client 1086: 3.4017
Client 173: 3.6724
Client 348: 4.3526
Client 941: 3.6405
Client 1449: 4.0155
Client 310: 3.1045
Client 542: 4.0722
Client 1106: 3.5260
Client 104: 3.7922
Client 354: 4.0658
Client 1997: 3.2804
Client 1982: 3.3238
Client 30: 3.5530
Client 925: 3.6916
Client 1596: 4.0283
Client 309: 3.9317
Client 709: 3.9993
Client 1822: 3.5379
Client 1175: 4.0235
Client 1176: 3.3831
Client 851: 3.6657
Client 630: 3.4243
Client 896: 3.5544
Client 1786: 3.9182
Client 1670: 3.2251
Client 957: 3.6320
Client 722: 3.8389
Client 25: 3.0667
Client 739: 4.0794
Client 321: 3.4188
